First: (3, -246092.0)
Got better! (3, -246092.0) (2, -249612.0)
Got better! (2, -249612.0) (2, -253001.0)
Got better! (2, -253001.0) (2, -255818.0)
Got better! (2, -255818.0) (2, -258024.0)
Got better! (2, -258024.0) (2, -260580.0)
Got better! (2, -260580.0) (2, -261989.0)
Got better! (2, -261989.0) (2, -264503.0)
Got better! (2, -264503.0) (2, -267761.0)
Got better! (2, -267761.0) (2, -270974.0)
Got better! (2, -270974.0) (2, -273839.0)
Got better! (2, -273839.0) (2, -277030.0)
Got better! (2, -277030.0) (2, -278947.0)
Got better! (2, -278947.0) (2, -281235.0)
Got better! (2, -281235.0) (2, -283516.0)
Got better! (2, -283516.0) (2, -285894.0)
Got better! (2, -285894.0) (2, -288032.0)
Got better! (2, -288032.0) (2, -289900.0)
Got better! (2, -289900.0) (2, -291888.0)
Got better! (2, -291888.0) (2, -293717.0)
Got better! (2, -293717.0) (2, -295831.0)
Got better! (2, -295831.0) (2, -297646.0)
Got better! (2, -297646.0) (2, -299631.0)
Got better! (2, -299631.0) (2, -301337.0)
Got better! (2, -301337.0) (2, -302879.0)
Got better! (2, -302879.0) (2, -304615.0)
Got better! (2, -304615.0) (2, -306139.0)
Got better! (2, -306139.0) (2, -307539.0)
Got better! (2, -307539.0) (2, -308919.0)
Got better! (2, -308919.0) (2, -310711.0)
Got better! (2, -310711.0) (2, -311629.0)
Got better! (2, -311629.0) (2, -312631.0)
Got better! (2, -312631.0) (2, -313844.0)
Got better! (2, -313844.0) (2, -315078.0)
Got better! (2, -315078.0) (2, -316215.0)
Got better! (2, -316215.0) (2, -317637.0)
Got better! (2, -317637.0) (2, -318831.0)
Got better! (2, -318831.0) (2, -319655.0)
Got better! (2, -319655.0) (2, -320991.0)
Got better! (2, -320991.0) (2, -322212.0)
Got better! (2, -322212.0) (2, -323301.0)
Got better! (2, -323301.0) (2, -324351.0)
Got better! (2, -324351.0) (2, -324966.0)
Got better! (2, -324966.0) (2, -325357.0)
Got better! (2, -325357.0) (2, -326180.0)
Got better! (2, -326180.0) (1, -237232.0)
Got better! (1, -237232.0) (1, -240480.0)
Got better! (1, -240480.0) (1, -241637.0)
Got better! (1, -241637.0) (1, -244452.0)
